track_id,track_name,artist_name,collection_name,album_artist,genre,rating,track_price,collection_price,release_date,track_time_millis,country,currency,preview_url,artwork_url
1715047378,NIGHTS LIKE THIS,The Kid LAROI,THE FIRST TIME,,Pop,Clean,1.29,16.99,2023-11-09T12:00:00Z,86984,USA,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/c6/ae/d6/c6aed603-f2e1-f077-259f-9810fc10d964/mzaf_17282151284965165611.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/46/26/10/46261095-a39c-9231-7d1c-9718aa092b3a/196871605403.jpg/100x100bb.jpg
715891620,I Kissed a Girl,Katy Perry,One of the Boys,,Pop,Clean,1.29,9.99,2008-04-28T07:00:00Z,179640,USA,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/88/15/a2/8815a2ff-3857-ec31-3538-0cc5a1401097/mzaf_11101215659500238091.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/cc/3e/4f/cc3e4fcc-e84f-d6b6-7a4c-879250f26db0/13UABIM48773.rgb.jpg/100x100bb.jpg
1646180883,Hey Mor (feat. Feid),Ozuna,OzuTochi,,Urbano latino,Clean,1.29,9.99,2022-10-07T12:00:00Z,196600,USA,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/a7/89/8a/a7898af4-bcf9-6c6d-1a3f-959af2ee2dbe/mzaf_718085357551991623.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/46/b1/35/46b135cc-592e-8b51-1e91-ac955d4200a0/196925396240.jpg/100x100bb.jpg
1556706159,Beautiful Mistakes,Maroon 5 & Megan Thee Stallion,Beautiful Mistakes - Single,,Pop,Clean,,,2021-03-03T12:00:00Z,227395,USA,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/ca/be/f9/cabef97d-ddd5-520f-edd0-f993f0f40d66/mzaf_6032840292179134142.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/75/90/6f/75906fda-bc17-2cd0-6cec-33cbbbd0514f/21UMGIM12488.rgb.jpg/100x100bb.jpg
1320781379,Beggin',Måneskin,Chosen,,Pop,Clean,1.29,5.99,2017-12-08T12:00:00Z,211560,USA,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/e4/51/0a/e4510ace-781c-dc91-bdbc-7fa36740475a/mzaf_6170303098038008119.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/67/08/e0/6708e014-c1be-76b1-c520-a6567bf946a2/886446867755.jpg/100x100bb.jpg
1419758422,Beautiful (feat. Camila Cabello),Bazzi,Beautiful (feat. Camila Cabello) - Single,,Pop,Clean,1.29,1.29,2018-08-02T12:00:00Z,180000,USA,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/47/4d/38/474d3805-b6f5-ddfc-1ec7-e8ed1cac36a3/mzaf_5401976791312976765.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/9c/a1/54/9ca1544e-7de5-2f42-62b8-10fc6c082b27/075679864895.jpg/100x100bb.jpg
158618071,Vienna,Billy Joel,The Stranger,,Rock,Clean,1.29,8.99,1977-09-29T07:00:00Z,213924,USA,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/82/12/04/821204d7-1aab-d348-f05a-cc4d5c96d16d/mzaf_8641478310377773778.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/37/68/4c/37684c52-dbdf-9bfe-0d87-07492f43dc4c/dj.gmcbwich.jpg/100x100bb.jpg
914556579,Night Changes,One Direction,FOUR (The Ultimate Edition),,Pop,Clean,1.29,14.99,2014-11-17T08:00:00Z,226598,USA,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/d0/94/c2/d094c26b-49a2-6fee-5f35-5d81c8d98548/mzaf_6574169018621617412.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/14/e4/98/14e49846-57a9-dc8d-6fa3-5e03ccf3606c/dj.ljogvxod.jpg/100x100bb.jpg
1279378195,Dusk Till Dawn (feat. Sia),ZAYN,Dusk Till Dawn (Radio Edit) [feat. Sia] - Single,,Pop,Clean,,,2017-09-08T12:00:00Z,239000,USA,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/76/93/7f/76937f9d-e4ef-4abd-bcb0-1e4de17d8280/mzaf_11032213082708434355.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/9d/25/4c/9d254c6f-1af8-c3e2-ff1a-f30ca2dbe45b/886446731896.jpg/100x100bb.jpg
1698723221,HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,,Pop,Clean,1.29,10.99,2023-08-11T12:00:00Z,184841,USA,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/46/e0/2c/46e02c91-a40d-d82f-2b6b-63a1a721639f/mzaf_4543887832571023506.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/fb/65/cb/fb65cb0f-4260-d740-d6f5-bb80c9c27c1b/23UMGIM84225.rgb.jpg/100x100bb.jpg
